target,condition,macro_f1,accuracy,roc_auc,avg_precision,fpr,fnr,n_test,n_target_train,macro_f1_lo95,macro_f1_hi95,n_target_benign,n_source_subsampled
insdn,zero_shot,0.5245932316585727,0.9977466722378081,0.9986625821876869,0.3371079318517366,0.0009414225941422594,0.9565217391304348,67012,0,0.5051933584471389,0.5489483816867194,,
insdn,target_only,0.4961996195860555,0.9849131498836029,0.7343277339587827,0.0032291750566345893,0.013732815301852958,1.0,67012,100,0.4959457223233493,0.4964333003398166,5.0,
insdn,fine_tune,0.4994696822575104,0.997880976541515,0.9977473102211596,0.2511218278040089,0.0007471607890017932,1.0,67012,100,0.4993817163916395,0.4995481803992442,5.0,
insdn,joint,0.6080596578447142,0.9979555900435743,0.9982904636295122,0.3565243296320905,0.0009563658099222953,0.7934782608695652,67012,100,0.5677041572823772,0.6492084168168782,5.0,200000.0
insdn,target_only,0.36271463248375874,0.5621232018146004,0.9219383462408067,0.00906448144878445,0.43847878063359236,0.0,67012,500,0.3609344072819307,0.3643827324011682,5.0,
insdn,fine_tune,0.7675890918225332,0.9978063630394556,0.9983859702694977,0.29889708919315705,0.0020920502092050207,0.07608695652173914,67012,500,0.7331477043490403,0.796224983811002,5.0,
insdn,joint,0.5043249056142662,0.9365337551483316,0.980154272460303,0.044435525630895596,0.06355349671249252,0.0,67012,500,0.5008198733198975,0.5080796058155436,5.0,200000.0
insdn,target_only,0.41719750770777364,0.7035456336178595,0.7785944931001325,0.0029644291775730576,0.2967872086072923,0.05434782608695652,67012,1000,0.41569380194345185,0.4188527052663085,10.0,
insdn,fine_tune,0.6005931351257785,0.997880976541515,0.9988772284882663,0.37512954653177055,0.0010161386730424388,0.8043478260869565,67012,1000,0.5642054596982624,0.6376321676138815,10.0,
insdn,joint,0.526105701768613,0.9638721423028711,0.9973249207359859,0.5880836083837774,0.036177525403466824,0.0,67012,1000,0.5202307523540511,0.53250291399115,10.0,200000.0
insdn,target_only,0.45310622613608775,0.8057661314391452,0.9914176401413758,0.08216411626684617,0.1945008965929468,0.0,67012,5000,0.45162215102370934,0.4548206517911333,48.0,
insdn,fine_tune,0.7974377154454733,0.9986420342625202,0.9990461517970841,0.3977565626601445,0.000986252241482367,0.2717391304347826,67012,5000,0.7625143891563838,0.8275085937379066,48.0,
insdn,joint,0.8279617227661069,0.9986420342625202,0.9991274461394527,0.42485658946585364,0.0012851165570830843,0.05434782608695652,67012,5000,0.7976999428222831,0.8588038225693823,48.0,200000.0
insdn,target_only,0.45538180442461246,0.8124067331224258,0.9647812768003327,0.020298153895297703,0.18785116557083084,0.0,67012,10000,0.45395296221325354,0.45721571454831217,96.0,
insdn,fine_tune,0.851278426080976,0.9988658747686981,0.9990396547467449,0.404173921173771,0.001105797967722654,0.021739130434782608,67012,10000,0.8216622635378739,0.8808874880560424,96.0,
insdn,joint,0.606612234834403,0.9972691458246284,0.997689080407495,0.23673238524626988,0.0017334130304841602,0.7282608695652174,67012,10000,0.5763417065206976,0.6393644828228316,96.0,200000.0
insdn,target_only,0.4521043168600102,0.8028412821584194,0.9583379083396139,0.019032694850205242,0.19742976688583383,0.0,67012,25000,0.45054756102965765,0.45383081363010574,240.0,
insdn,fine_tune,0.8499067386438449,0.9988509520682862,0.9990377868447724,0.4025471339198135,0.0011207411835026898,0.021739130434782608,67012,25000,0.8186765592332967,0.88129535947755,240.0,
insdn,joint,0.5452073991274742,0.9771384229690204,0.99609990189454,0.24987078659567685,0.022818290496114765,0.05434782608695652,67012,25000,0.5371009853865993,0.554795302836112,240.0,200000.0
insdn,target_only,0.4061576136458307,0.6726854891661195,0.9339677161568648,0.010127879996828935,0.32776449491930665,0.0,67012,50000,0.40470548553341973,0.4075955896474119,479.0,
insdn,fine_tune,0.7706618465155294,0.998537575359637,0.9990635314067413,0.3964038203480922,0.0009563658099222953,0.3695652173913043,67012,50000,0.732611826439856,0.805446462558031,479.0,
insdn,joint,0.5423882378126601,0.9977765176386318,0.998520134359001,0.2996578815022798,0.0009563658099222953,0.9239130434782609,67012,50000,0.5153729042164229,0.573802126733355,479.0,200000.0
ids2017,zero_shot,0.3547490856860407,0.5439521852820322,0.6628911119556464,0.4625486001008767,0.09035812672176309,0.9969624004445268,66925,0,0.35288294559397987,0.3565521895282263,,
ids2017,target_only,0.9964250658984416,0.9965633171460591,0.9998174435378601,0.999763461509009,5.008765339343852e-05,0.008446008520096315,66925,100,0.9959457314593224,0.9968828706532272,35.0,
ids2017,fine_tune,0.44303142012006536,0.6237131116921928,0.9527479418858906,0.9217253079305805,0.0,0.932876458603445,66925,100,0.439753540487551,0.44650383258707327,35.0,
ids2017,joint,0.9948245914550813,0.9950242809114681,0.9997746435962879,0.9996781377952108,0.0015276734284998747,0.01007593998888683,66925,100,0.9942254618632916,0.9954429956043624,35.0,200000.0
ids2017,target_only,0.99897514567862,0.9990138214419126,0.9999565520453533,0.9999382584355276,0.0,0.002444897203185775,66925,500,0.9987346793293511,0.9992222531189444,177.0,
ids2017,fine_tune,0.45370764836083255,0.628165857302951,0.9593652370997272,0.9329763759715253,0.0,0.9218373772920911,66925,500,0.4505706311769904,0.4575159470440142,177.0,
ids2017,joint,0.997265265874312,0.9973701905117669,0.9998911634905444,0.9998525147334724,2.504382669671926e-05,0.006482681978144101,66925,500,0.9968273720312973,0.9976935714891002,177.0,200000.0
ids2017,target_only,0.9987731841667351,0.9988195741501681,0.9999743536185547,0.9999618902864793,0.0,0.0029264678644193368,66925,1000,0.9984885152808733,0.999052352357726,353.0,
ids2017,fine_tune,0.4603106185463279,0.6309600298841987,0.9582122372236244,0.9309761079306506,0.0,0.9149101685497314,66925,1000,0.45701892937941563,0.46405457852435783,353.0,
ids2017,joint,0.9984313496266473,0.998490847964139,0.9999134018891274,0.9998795245324651,2.504382669671926e-05,0.003704389701796629,66925,1000,0.998117320389119,0.9987511402331657,353.0,200000.0
ids2017,target_only,0.9986644224871082,0.9987149794546134,0.9999746208021845,0.9999627859876146,0.0,0.003185775143545101,66925,5000,0.9983746875744309,0.9989678096221029,1765.0,
ids2017,fine_tune,0.460802016272739,0.6311692192753082,0.9615178590687065,0.9364997530648392,0.0,0.9143915539914799,66925,5000,0.45752609085616514,0.46439189521389,1765.0,
ids2017,joint,0.9987576473488486,0.9988046320508032,0.9999686342189775,0.9999541462123794,0.0,0.0029635117614373032,66925,5000,0.9984919856329871,0.9990529601088298,1765.0,200000.0
ids2017,target_only,0.9988664011219102,0.9989092267463578,0.9999895264944807,0.9999842307195755,0.0,0.002704204482311539,66925,10000,0.9985926599188304,0.9991068845792783,3531.0,
