max_depth,max_depth_label,n_estimators,model_size_mb,mean_tree_depth,mean_leaves_per_tree,fit_seconds,val_macro_f1,val_accuracy,val_roc_auc,val_avg_precision,val_fpr,val_fnr,val_false_positives,val_single_flow_latency_ms_p50,val_single_flow_latency_ms_p99,val_batch_throughput_flows_per_s,test_macro_f1,test_accuracy,test_roc_auc,test_avg_precision,test_fpr,test_fnr,test_false_positives,test_single_flow_latency_ms_p50,test_single_flow_latency_ms_p99,test_batch_throughput_flows_per_s
8,8,25,0.143,7.96,35.2,29.9,1.0,1.0,1.0,1.0,0.0,0.0,0,3.296349999800441,8.152364000634407,1012648.2,0.9782079045400394,0.997507516902006,0.9994304002474674,0.9999834683365768,0.0012158254468980021,0.0025295971463698656,37,3.4007500016741687,8.891419000283346,1228314.0
8,8,50,0.269,7.94,33.04,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0,6.343250001009437,13.101143000203589,938474.0,0.9779423681284015,0.997475026433317,0.9993786755103352,0.9999821544267345,0.000887223974763407,0.002572585013283251,27,6.8073000002186745,14.182159998817951,911427.2
8,8,100,0.535,7.96,32.98,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0,12.556499999845983,22.56129900059022,648160.5,0.9779565683629015,0.9974768830315278,0.9994982354837971,0.999985536250406,0.000952944269190326,0.002568763869557617,29,13.074950000373065,29.447445999212494,460804.7
8,8,200,1.062,7.97,32.745,188.2,1.0,1.0,1.0,1.0,0.0,0.0,0,24.424050001471187,48.93301800202606,298907.2,0.9777778359458682,0.9974555321521037,0.9995248261747003,0.9999863008358777,0.000952944269190326,0.0025907354459800136,29,25.279349998527323,51.767150000050584,268965.0
12,12,25,0.166,10.96,41.04,27.1,1.0,1.0,1.0,1.0,0.0,0.0,0,3.3875500012072735,9.148352997544858,1245716.8,0.978770220032467,0.9975743544375947,0.9995051678517892,0.9999851175345384,0.001150105152471083,0.0024627271311712666,35,3.6649499998020474,13.442274999506477,1366837.4
12,12,50,0.327,11.12,40.66,51.5,1.0,1.0,1.0,1.0,0.0,0.0,0,6.576050000148825,20.91430000215041,945511.1,0.9781236386472352,0.9974973056118466,0.9995929494062581,0.9999881037170488,0.001150105152471083,0.002542015863478177,35,6.392199999027071,18.032418999937363,831966.2
12,12,100,0.656,10.98,40.91,90.6,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0,12.572100000397768,57.35804799787729,349845.6,0.9781418703354463,0.9974991622100574,0.9995891947954099,0.9999881520543148,0.001018664563617245,0.002543926435340994,31,12.34429999931308,28.399815000266244,466473.0
12,12,200,1.341,11.185,41.885,189.3,1.0,1.0,1.0,1.0,0.0,0.0,0,22.129299997686758,41.17861900118441,283126.3,0.978180106049274,0.9975038037055843,0.9996062464075761,0.9999886654683313,0.0010515247108307045,0.002538194719752543,32,10.027650001575239,34.77283599990187,492253.8
16,16,25,0.18,12.04,44.76,9.4,1.0,1.0,1.0,1.0,0.0,0.0,0,1.3797499996144325,3.1532129993502167,2311321.7,0.979860239855517,0.9977043163123503,0.9994835059145766,0.9999834654565604,0.0013801261829652998,0.0023223000992542084,42,3.4264499990968034,11.794388999878716,2813456.5
16,16,50,0.358,12.58,44.78,50.3,1.0,1.0,1.0,1.0,0.0,0.0,0,6.505200000901823,16.726721997547426,994328.1,0.9783805170301357,0.9975279394823248,0.9996175724881486,0.9999884481915178,0.001150105152471083,0.0025104914277416946,35,6.595999999262858,29.37203700017562,913011.4
