shift,target,feature_set,seed,fit_seconds,macro_f1,accuracy,roc_auc,avg_precision,fpr,fnr,n_test,macro_f1_lo95,macro_f1_hi95,transfer_dimension
in_distribution,SYN_0311,full,42,13.4,0.9670179602048603,0.99994,0.999997219406483,0.9999999987867325,0.0,6.0025510842107895e-05,400000,0.952628062199895,0.9797297600692352,
in_distribution,SYN_0311,full,123,13.4,0.9683051777030329,0.9999425,0.9999966382771501,0.9999999985490491,0.0,5.75244478903534e-05,400000,0.9533027044270583,0.9803312159880524,
in_distribution,SYN_0311,full,456,13.6,0.9655491061989487,0.9999375,0.9999972561868206,0.9999999988180496,0.0058823529411764705,6.0025510842107895e-05,400000,0.9518286355167966,0.9776254277921864,
in_distribution,SYN_0311,cic_only,42,14.1,0.9899091677701082,0.9999825,0.9999962263373698,0.9999999983864921,0.0,1.750744066228147e-05,400000,0.9819603621264996,0.9971501293213735,
in_distribution,SYN_0311,cic_only,123,14.1,0.9899091677701082,0.9999825,0.9999964102390575,0.9999999984614942,0.0,1.750744066228147e-05,400000,0.9819603621264996,0.9971501293213735,
in_distribution,SYN_0311,cic_only,456,14.1,0.9897915414907611,0.9999825,0.9999960571478173,0.99999999830516,0.011764705882352941,1.2505314758772479e-05,400000,0.9812538622563821,0.9960825908160672,
in_distribution,SYN_0311,entropy_only,42,10.5,0.5021302292869247,0.9980925,0.9075528717351934,0.9999402685279195,0.9882352941176471,0.0014881324562939248,400000,0.49950701440919304,0.5062987448981119,
in_distribution,SYN_0311,entropy_only,123,8.9,0.5030449947512963,0.9973275,0.9172528986584004,0.9999486993222313,0.9764705882352941,0.00225845984543431,400000,0.50020210554851,0.5068736482284327,
in_distribution,SYN_0311,entropy_only,456,8.7,0.5012550410503408,0.99739,0.9213518245254233,0.9999518069289599,0.9882352941176471,0.0021909311457369383,400000,0.4993265942692922,0.5041897322095935,
cross_vector,LDAP_0311,full,42,,0.9684158809101839,0.99979,0.9999704751021792,0.9999999476779842,0.07418397626112759,8.514346674145936e-05,400000,0.9618235627285994,0.9753310986175899,
