t,cpu_percent,rss_gb,threads
1789978631.5416257,0.0,0.23430633544921875,42
1789978631.8056486,99.9,0.23096466064453125,44
1789978632.0625944,112.5,0.23104476928710938,44
1789978632.319272,100.2,0.23113632202148438,44
1789978632.5807924,105.7,0.23115158081054688,44
1789978632.8369505,100.0,0.2291412353515625,44
1789978633.0940347,93.8,0.2292022705078125,44
1789978633.3528705,70.8,0.22925186157226562,44
1789978633.6095338,106.2,0.22932815551757812,44
1789978633.8649783,94.0,0.22924423217773438,44
1789978634.1208732,93.8,0.2293243408203125,44
1789978634.3773284,99.9,0.22941970825195312,44
1789978634.6337676,87.5,0.22943878173828125,44
1789978634.8907163,100.0,0.2292633056640625,44
1789978635.1517057,82.5,0.22937774658203125,44
1789978635.4138086,82.2,0.22943115234375,44
1789978635.6703856,106.2,0.22922897338867188,44
1789978635.9311411,94.0,0.22934722900390625,44
1789978636.1944764,94.3,0.22949600219726562,44
1789978636.4499328,93.8,0.22959518432617188,44
1789978636.7049086,88.1,0.22941970825195312,44
1789978636.9613912,93.8,0.22953033447265625,44
1789978637.2172565,112.5,0.22967147827148438,44
1789978637.4727461,82.5,0.22976303100585938,44
1789978637.729551,106.2,0.22936248779296875,44
1789978637.9861193,105.7,0.22952651977539062,44
1789978638.2423966,106.2,0.22968673706054688,44
1789978638.4999976,93.8,0.22979354858398438,44
1789978638.7606099,88.1,0.22940826416015625,44
1789978639.0173876,94.3,0.22952651977539062,44
1789978639.2739732,100.0,0.22967910766601562,44
1789978639.529394,93.8,0.22980880737304688,44
1789978639.785335,88.1,0.22954559326171875,44
1789978640.0410316,106.2,0.22964096069335938,44
1789978640.301123,117.5,0.2297210693359375,44
1789978640.5588214,100.0,0.22978973388671875,44
1789978640.8151948,88.4,0.22941207885742188,44
1789978641.0718515,100.0,0.22958755493164062,44
1789978641.327842,106.2,0.22973251342773438,44
1789978641.5837476,94.0,0.22983169555664062,44
1789978641.8401456,93.8,0.22956085205078125,44
1789978642.0965202,100.2,0.2297821044921875,44
1789978642.3524194,106.2,0.22987747192382812,44
1789978642.6087198,106.2,0.22993087768554688,44
1789978642.8643634,94.0,0.229644775390625,44
1789978643.1253173,100.0,0.229766845703125,44
1789978643.384338,99.9,0.2298736572265625,44
1789978643.639957,100.0,0.22993087768554688,44
1789978643.8963013,94.3,0.2296295166015625,44
1789978644.1541157,106.2,0.22973251342773438,44
1789978644.410976,105.7,0.22983932495117188,44
1789978644.6679468,100.0,0.22998428344726562,44
1789978644.9243205,94.0,0.22967529296875,44
1789978645.1801314,106.2,0.22982406616210938,44
1789978645.4361072,100.0,0.22992324829101562,44
1789978645.6940236,88.4,0.22998428344726562,44
1789978645.9528954,106.2,0.22974777221679688,44
1789978646.210076,94.0,0.2298431396484375,44
1789978646.4654691,118.8,0.22991943359375,44
1789978646.7214768,100.2,0.22997665405273438,44
1789978646.976703,100.0,0.229736328125,44
1789978647.2365038,99.9,0.22983932495117188,44
1789978647.4940934,100.0,0.22993087768554688,44
1789978647.7503116,118.8,0.23000335693359375,44
1789978648.0065818,94.0,0.22971725463867188,44
1789978648.2640777,118.8,0.22983551025390625,44
1789978648.5212736,88.4,0.22997665405273438,44
1789978648.7767434,125.0,0.23001861572265625,44
1789978649.0346596,99.9,0.22971725463867188,44
1789978649.2905006,100.0,0.22983932495117188,44
1789978649.5461187,100.0,0.2299346923828125,44
1789978649.8018591,88.1,0.23003005981445312,44
