target,condition,accuracy,macro_f1,avg_precision,roc_auc,precision,recall,fpr,fnr,n,n_benign,n_attack,fpr_lo95,fpr_hi95,fnr_lo95,fnr_hi95
InSDN,zero-shot,0.6026762530666332,0.6026418974616436,0.9567894823623749,0.8990051758543736,0.9989448614753851,0.4276909772640736,0.0010231076163054122,0.5723090227359264,223372,68419,154953,0.0007771791010591816,0.0012772535397932694,0.5697552147115823,0.5747280020047306
InSDN,in-distribution,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,67012,20445,46567,0.0,0.0,0.0,0.0
InSDN,joint,0.9999850772995882,0.9999824037041324,1.0,1.0,1.0,0.9999785255653145,0.0,2.1474434685506904e-05,67012,20445,46567,0.0,0.0,0.0,6.450256968000137e-05
CICIDS2017_DDoS,zero-shot,0.3628486386171901,0.27877658589115023,0.5749421075855035,0.5693831398866471,0.12643495741416708,0.018669832987017045,0.17369672234611017,0.9813301670129829,223082,95068,128014,0.171421812737669,0.17607200762778397,0.9806171785791157,0.982060438400082
CICIDS2017_DDoS,in-distribution,0.999252895031752,0.9992236701030965,0.9999923806155133,0.9999949095952181,1.0,0.9981478051491017,0.0,0.0018521948508983144,66925,39930,26995,0.0,0.0,0.0013654846570406432,0.002394729518912828
CICIDS2017_DDoS,joint,0.9992827792304819,0.9992547322788157,0.9999894984413434,0.9999929200976686,1.0,0.9982218929431376,0.0,0.001778107056862382,66925,39930,26995,0.0,0.0,0.0012922211048038122,0.0023229617643031903
