offered_rate,achieved_rate,saturation_ratio,rtt_p50_ms,rtt_p99_ms,cpu_mean_percent,cpu_max_percent,bytes_in_per_s,bytes_out_per_s
500,77.4,0.1549,10.204800000792602,37.99897599747053,92.40400000000001,106.2,29884.3,4954.4
1000,34.2,0.0342,27.455899999040412,49.16673599938803,89.23197674418603,106.2,13196.7,2188.1
2000,34.9,0.0174,27.25800000007439,51.98289399944769,86.69418604651163,106.2,13461.6,2232.0
4000,34.1,0.0085,27.592050000748714,57.121076998955814,88.29239766081871,106.2,13151.4,2180.6
8000,35.6,0.0044,26.245800001561292,51.32521899933636,90.55872093023255,106.2,13739.9,2278.1
16000,34.6,0.0022,27.00860000004468,59.21623900074345,87.38128654970761,106.2,13361.9,2215.5
32000,34.7,0.0011,26.91870000126073,48.67541000166964,90.62906976744185,106.2,13406.1,2222.8
