feature_set,feature,family,min,max,mean,std,n_unique,is_constant,mutual_info,single_feature_auc
original,Packet_Length_Mean,cicflowmeter,0.0,1721.142822265625,6.9871296882629395,20.107208251953125,5088,False,0.05179567841493571,0.7380657509238336
original,Packet_Length_Std,cicflowmeter,0.0,1200.5487060546875,0.8963785767555237,21.592363357543945,5085,False,0.029775019904066502,0.8302099672651923
original,Packet_Length_Variance,cicflowmeter,0.0,1441317.25,467.0337829589844,15298.513671875,5085,False,0.029807551055777592,0.8302099672651923
original,FIN_Flag_Count,cicflowmeter,0.0,0.0,0.0,0.0,1,True,3.4657139336147225e-05,0.5
original,SYN_Flag_Count,cicflowmeter,0.0,1.0,0.00022251346672419459,0.0149152260273695,2,False,0.0,0.5018722203991035
original,RST_Flag_Count,cicflowmeter,0.0,1.0,0.0014236405258998275,0.03770429641008377,2,False,0.006661553582130164,0.5791779355341176
original,PSH_Flag_Count,cicflowmeter,0.0,0.0,0.0,0.0,1,True,0.000139693231394733,0.5
original,ACK_Flag_Count,cicflowmeter,0.0,1.0,0.9917344450950623,0.09053873270750046,2,False,0.0818234637728763,0.8891666925080837
original,URG_Flag_Count,cicflowmeter,0.0,1.0,0.004702581092715263,0.06841393560171127,2,False,0.019044633851985848,0.7361691105084545
original,CWE_Flag_Count,cicflowmeter,0.0,1.0,0.002435394562780857,0.04928959161043167,2,False,0.008714290058944196,0.6169197016301926
original,ECE_Flag_Count,cicflowmeter,0.0,0.0,0.0,0.0,1,True,0.00020715115195502065,0.5
original,Down_Up_Ratio,cicflowmeter,0.0,15.0,0.3532413840293884,0.4875362515449524,14,False,0.021719808191711376,0.641108911278518
original,Average_Packet_Size,cicflowmeter,0.0,2007.5,9.399211883544922,25.19088363647461,5129,False,0.04791960289019026,0.7505424440246313
original,Avg_Fwd_Segment_Size,cicflowmeter,0.0,2033.0,6.670101165771484,15.397396087646484,3658,False,0.051298916925469396,0.7286641590984433
original,Avg_Bwd_Segment_Size,cicflowmeter,0.0,1848.7894287109375,3.577296733856201,24.30332374572754,3881,False,0.02264218691901987,0.6932104477961998
original,Fwd_Header_Length_2,cicflowmeter,0.0,148752.0,59.78539276123047,138.80709838867188,566,False,0.03335356648081622,0.6081307656677533
original,Fwd_Avg_Bytes_Bulk,cicflowmeter,0.0,0.0,0.0,0.0,1,True,2.2906520646959194e-05,0.5
original,Fwd_Avg_Packets_Bulk,cicflowmeter,0.0,0.0,0.0,0.0,1,True,6.161198541931867e-05,0.5
original,Fwd_Avg_Bulk_Rate,cicflowmeter,0.0,0.0,0.0,0.0,1,True,2.4944957772499166e-05,0.5
original,Bwd_Avg_Bytes_Bulk,cicflowmeter,0.0,0.0,0.0,0.0,1,True,8.729493893322449e-05,0.5
original,Bwd_Avg_Packets_Bulk,cicflowmeter,0.0,0.0,0.0,0.0,1,True,1.4048893993257039e-05,0.5
original,Bwd_Avg_Bulk_Rate,cicflowmeter,0.0,0.0,0.0,0.0,1,True,0.0,0.5
original,Subflow_Fwd_Packets,cicflowmeter,1.0,15614.0,2.9771928787231445,11.685327529907227,249,False,0.028919773428953577,0.5458247571510904
original,Subflow_Fwd_Bytes,cicflowmeter,0.0,208524.0,26.11788558959961,386.33502197265625,2744,False,0.04304913680617184,0.6823196763922288
original,Subflow_Bwd_Packets,cicflowmeter,0.0,8029.0,1.2299801111221313,7.933715343475342,336,False,0.010430741951530376,0.6689932900874718
