capacity,aggregation,eviction,t,occupancy
1024,exact,hard,9.8,1024
1024,exact,hard,9.866666666666667,1024
1024,exact,hard,9.933333333333334,1024
1024,exact,hard,10.0,1024
1024,exact,hard,10.066666666666666,1024
1024,exact,hard,10.133333333333333,1024
1024,exact,hard,10.2,1024
1024,exact,hard,10.266666666666667,1024
1024,exact,hard,10.333333333333334,1024
1024,exact,hard,10.4,1024
1024,exact,hard,10.466666666666667,1024
1024,exact,hard,10.533333333333333,1024
1024,exact,hard,10.6,1024
1024,exact,hard,10.666666666666666,1024
1024,exact,hard,10.733333333333333,1024
1024,exact,hard,10.8,1024
1024,exact,hard,10.866666666666667,1024
1024,exact,hard,10.933333333333334,1024
1024,exact,hard,11.0,1024
1024,exact,hard,11.066666666666666,1024
1024,exact,hard,11.133333333333333,1024
1024,exact,hard,11.2,1024
1024,exact,hard,11.266666666666667,1024
1024,exact,hard,11.333333333333334,1024
1024,exact,hard,11.4,1024
1024,exact,hard,11.466666666666667,1024
1024,exact,hard,11.533333333333333,1024
1024,exact,hard,11.6,1024
1024,exact,hard,11.666666666666666,1024
1024,exact,hard,11.733333333333333,1024
1024,exact,hard,11.8,1024
1024,exact,hard,11.866666666666667,1024
1024,exact,hard,11.933333333333334,1024
1024,exact,hard,12.0,1024
1024,exact,hard,12.066666666666666,1024
1024,exact,hard,12.133333333333333,1024
1024,exact,hard,12.2,1024
1024,exact,hard,12.266666666666667,1024
1024,exact,hard,12.333333333333334,1024
1024,exact,hard,12.4,1024
1024,exact,hard,12.466666666666667,1024
1024,exact,hard,12.533333333333333,1024
1024,exact,hard,12.6,1024
1024,exact,hard,12.666666666666666,1024
1024,exact,hard,12.733333333333333,1024
1024,exact,hard,12.8,1024
1024,exact,hard,12.866666666666667,1024
1024,exact,hard,12.933333333333334,1024
1024,exact,hard,13.0,1024
1024,exact,hard,13.066666666666666,1024
1024,exact,hard,13.133333333333333,1024
1024,exact,hard,13.2,1024
1024,exact,hard,13.266666666666667,1024
1024,exact,idle,0.0,1
1024,exact,idle,0.06666666666666667,193
1024,exact,idle,0.13333333333333333,383
1024,exact,idle,0.2,577
1024,exact,idle,0.26666666666666666,770
1024,exact,idle,0.3333333333333333,959
1024,exact,idle,0.4,1024
1024,exact,idle,0.4666666666666667,1024
1024,exact,idle,0.5333333333333333,1024
1024,exact,idle,0.6,1024
1024,exact,idle,0.6666666666666666,1024
1024,exact,idle,0.7333333333333333,1024
1024,exact,idle,0.8,1024
1024,exact,idle,0.8666666666666667,1024
1024,exact,idle,0.9333333333333333,1024
1024,exact,idle,1.0,1024
1024,exact,idle,1.0666666666666667,1024
1024,exact,idle,1.1333333333333333,1024
1024,exact,idle,1.2,1024
1024,exact,idle,1.2666666666666666,1024
1024,exact,idle,1.3333333333333333,1024
1024,exact,idle,1.4,1024
1024,exact,idle,1.4666666666666666,1024
1024,exact,idle,1.5333333333333334,1024
1024,exact,idle,1.6,1024
1024,exact,idle,1.6666666666666667,1024
1024,exact,idle,1.7333333333333334,1024
1024,exact,idle,1.8,1024
1024,exact,idle,1.8666666666666667,1024
1024,exact,idle,1.9333333333333333,1024
1024,exact,idle,2.0,1024
1024,exact,idle,2.066666666666667,1024
1024,exact,idle,2.1333333333333333,1024
1024,exact,idle,2.2,1024
1024,exact,idle,2.2666666666666666,1024
1024,exact,idle,2.3333333333333335,1024
1024,exact,idle,2.4,1024
1024,exact,idle,2.466666666666667,1024
1024,exact,idle,2.533333333333333,1024
1024,exact,idle,2.6,1024
1024,exact,idle,2.6666666666666665,1024
1024,exact,idle,2.7333333333333334,1024
1024,exact,idle,2.8,1024
1024,exact,idle,2.8666666666666667,1024
1024,exact,idle,2.933333333333333,1024
1024,exact,idle,3.0,1024
1024,exact,idle,3.066666666666667,1024
1024,exact,idle,3.1333333333333333,1024
1024,exact,idle,3.2,1024
1024,exact,idle,3.2666666666666666,1024
1024,exact,idle,3.3333333333333335,1024
1024,exact,idle,3.4,1024
1024,exact,idle,3.466666666666667,1024
1024,exact,idle,3.533333333333333,1024
