key,curve,x,y
E1/A/Decision_Tree,roc,0.0,0.0
E1/A/Decision_Tree,roc,0.7842074132492114,0.9992758925722627
E1/A/Decision_Tree,roc,1.0,1.0
E1/A/Decision_Tree,pr,0.0,1.0
E1/A/Decision_Tree,pr,0.9992758925722627,0.9776944480532529
E1/A/Decision_Tree,pr,1.0,0.9717499754000509
E1/A/LightGBM,roc,0.0,0.0
E1/A/LightGBM,roc,0.0,0.9950640328771521
E1/A/LightGBM,roc,0.0,0.9951729355773659
E1/A/LightGBM,roc,0.0,0.9951958624616214
E1/A/LightGBM,roc,0.0,0.995214968198501
E1/A/LightGBM,roc,0.0,0.9952359845090686
E1/A/LightGBM,roc,0.0,0.995261777253856
E1/A/LightGBM,roc,3.2860147213459515e-05,0.9952780171302037
E1/A/LightGBM,roc,3.2860147213459515e-05,0.9952961675802393
E1/A/LightGBM,roc,3.2860147213459515e-05,0.9953745011014458
E1/A/LightGBM,roc,3.2860147213459515e-05,0.9954079361409851
E1/A/LightGBM,roc,3.2860147213459515e-05,0.9954986883911632
E1/A/LightGBM,roc,3.2860147213459515e-05,0.995509196546447
E1/A/LightGBM,roc,6.572029442691903e-05,0.9955206599885748
E1/A/LightGBM,roc,6.572029442691903e-05,0.9955951723624052
E1/A/LightGBM,roc,6.572029442691903e-05,0.9956085463782209
E1/A/LightGBM,roc,6.572029442691903e-05,0.9956276521151006
E1/A/LightGBM,roc,6.572029442691903e-05,0.995658221294108
E1/A/LightGBM,roc,6.572029442691903e-05,0.9957900508785773
E1/A/LightGBM,roc,6.572029442691903e-05,0.9959266568972666
E1/A/LightGBM,roc,6.572029442691903e-05,0.9959772870999976
E1/A/LightGBM,roc,6.572029442691903e-05,0.9960384254580122
E1/A/LightGBM,roc,6.572029442691903e-05,0.9964893208483712
E1/A/LightGBM,roc,6.572029442691903e-05,0.9969039153386587
E1/A/LightGBM,roc,6.572029442691903e-05,0.9969201552150064
E1/A/LightGBM,roc,6.572029442691903e-05,0.9969640984098295
