t,cpu_percent,rss_gb,threads
1789978477.8267756,0.0,0.176055908203125,42
1789978478.0892248,88.1,0.17618942260742188,44
1789978478.3464563,88.4,0.17625045776367188,44
1789978478.6032264,93.8,0.17632293701171875,44
1789978478.8582523,118.8,0.17312240600585938,44
1789978479.1148574,94.0,0.1732177734375,44
1789978479.371084,106.2,0.17328262329101562,44
1789978479.6275885,94.0,0.17334365844726562,44
1789978479.8834128,100.0,0.1731719970703125,44
1789978480.140373,100.0,0.17322921752929688,44
1789978480.3975852,94.3,0.17327117919921875,44
1789978480.653823,112.5,0.17331695556640625,44
1789978480.9105518,82.2,0.1730804443359375,44
1789978481.16571,100.0,0.17317962646484375,44
1789978481.4268324,94.0,0.173248291015625,44
1789978481.6869187,87.5,0.17329025268554688,44
1789978481.9440882,88.4,0.17314910888671875,44
1789978482.2007184,93.8,0.17324066162109375,44
1789978482.4574983,88.1,0.17327499389648438,44
1789978482.7144566,106.2,0.17331314086914062,44
1789978482.9730113,100.2,0.17322540283203125,44
1789978483.237461,82.2,0.17324447631835938,44
1789978483.49322,93.8,0.17327117919921875,44
1789978483.7507818,93.8,0.173309326171875,44
1789978484.0073013,94.0,0.17322540283203125,44
1789978484.263152,100.0,0.1732940673828125,44
1789978484.5199203,88.4,0.173309326171875,44
1789978484.7775197,118.8,0.173309326171875,44
1789978485.0366096,94.0,0.173126220703125,44
1789978485.292413,100.0,0.17322158813476562,44
1789978485.5477197,118.8,0.17327117919921875,44
1789978485.8048358,82.2,0.17330169677734375,44
1789978486.0610049,118.8,0.17317962646484375,44
1789978486.3162992,106.1,0.17322540283203125,44
1789978486.5734372,100.0,0.17327880859375,44
1789978486.835362,99.9,0.173309326171875,44
1789978487.090913,100.0,0.1732330322265625,44
1789978487.3476253,100.2,0.17327117919921875,44
1789978487.6048546,100.0,0.17331314086914062,44
1789978487.8614933,94.0,0.17332077026367188,44
1789978488.1175718,81.2,0.17313766479492188,44
1789978488.3741813,112.5,0.17325592041015625,44
1789978488.6316748,88.1,0.17333221435546875,44
1789978488.8878016,100.0,0.17341995239257812,44
1789978489.1449974,94.3,0.17321395874023438,44
1789978489.4007387,100.0,0.17327117919921875,44
1789978489.658478,99.9,0.17333221435546875,44
1789978489.9179978,106.2,0.17321014404296875,44
1789978490.1731894,118.8,0.17327499389648438,44
1789978490.4288375,94.0,0.17330551147460938,44
1789978490.6901124,106.1,0.17333984375,44
1789978490.9472983,106.2,0.1732177734375,44
1789978491.2039754,118.8,0.1732635498046875,44
1789978491.4604404,105.7,0.17333602905273438,44
1789978491.717466,106.2,0.17340469360351562,44
1789978491.9761333,112.0,0.1732025146484375,44
1789978492.2325065,112.5,0.17333602905273438,44
1789978492.4881322,88.1,0.17339324951171875,44
1789978492.7451887,112.5,0.17340850830078125,44
1789978493.000064,100.0,0.17325592041015625,44
1789978493.2567682,88.1,0.17332839965820312,44
1789978493.5135994,112.5,0.17335891723632812,44
1789978493.7711625,94.3,0.17338943481445312,44
1789978494.0288513,112.5,0.17327117919921875,44
1789978494.285616,105.7,0.17336273193359375,44
1789978494.5426273,106.2,0.17337799072265625,44
1789978494.7978027,118.8,0.17341232299804688,44
1789978495.0539076,105.7,0.17336654663085938,44
1789978495.3108318,112.5,0.17343521118164062,44
1789978495.5657403,88.4,0.17345428466796875,44
1789978495.8227384,93.8,0.17345428466796875,44
1789978496.0821657,99.9,0.173248291015625,44
1789978496.3390884,87.5,0.173309326171875,44
1789978496.5961974,106.1,0.17335128784179688,44
1789978496.852632,106.2,0.17335128784179688,44
1789978497.1101148,106.2,0.17333984375,44
1789978497.3652003,94.0,0.17342758178710938,44
1789978497.6217732,100.0,0.17348480224609375,44
1789978497.8780541,105.7,0.17348480224609375,44
1789978498.1441076,100.2,0.17335891723632812,44
1789978498.4040375,81.2,0.17340850830078125,44
1789978498.6595688,99.9,0.173431396484375,44
1789978498.915958,118.8,0.173431396484375,44
1789978499.1716168,112.5,0.17331695556640625,44
1789978499.426789,94.0,0.17337799072265625,44
1789978499.6860316,106.2,0.17343902587890625,44
1789978499.9617527,83.4,0.17343902587890625,44
1789978500.2196038,106.2,0.17335128784179688,44
1789978500.4766319,94.3,0.17341232299804688,44
1789978500.7331712,106.2,0.17344284057617188,44
1789978500.9893117,88.1,0.17348098754882812,44
1789978501.2461712,100.0,0.1732940673828125,44
1789978501.5020869,99.9,0.17337799072265625,44
1789978501.757276,100.0,0.17340087890625,44
1789978502.0139174,118.8,0.17340087890625,44
1789978502.269901,100.2,0.17337799072265625,44
1789978502.5254107,100.0,0.17340469360351562,44
1789978502.7819848,93.8,0.1734466552734375,44
1789978503.0391548,99.9,0.17348098754882812,44
1789978503.2947614,106.2,0.17341995239257812,44
1789978503.5500417,99.9,0.17345809936523438,44
1789978503.8099384,106.2,0.1734771728515625,44
1789978504.0682223,106.1,0.17326736450195312,44
1789978504.3460765,94.5,0.17337417602539062,44
1789978504.6063948,106.2,0.17342758178710938,44
1789978504.8626378,105.7,0.1734466552734375,44
1789978505.122183,100.0,0.17332839965820312,44
1789978505.377801,105.7,0.17341995239257812,44
1789978505.6342854,106.2,0.17345046997070312,44
1789978505.8904266,112.5,0.17348861694335938,44
1789978506.1537733,88.4,0.17336273193359375,44
1789978506.4110024,105.7,0.17358779907226562,46
1789978506.667045,106.2,0.17363739013671875,46
1789978506.9228854,112.5,0.17363739013671875,46
1789978507.1790354,94.0,0.173492431640625,46
1789978507.4348555,125.0,0.17353439331054688,46
1789978507.709322,105.6,0.17359161376953125,46
1789978507.9672658,118.8,0.17362213134765625,46
1789978508.2238407,94.3,0.17354583740234375,46
1789978508.4809203,112.5,0.17361831665039062,46
1789978508.7381618,99.9,0.17363739013671875,46
1789978508.9957252,100.0,0.17364120483398438,46
1789978509.2523932,111.6,0.17358016967773438,46
1789978509.5092869,100.0,0.17363739013671875,46
1789978509.7662773,131.2,0.17364120483398438,46
1789978510.0242004,94.3,0.17364120483398438,46
1789978510.2832832,105.7,0.17354583740234375,46
1789978510.540602,100.0,0.17365646362304688,46
1789978510.7973053,87.5,0.17367172241210938,46
1789978511.0544333,94.0,0.17367172241210938,46
1789978511.313266,106.2,0.17356491088867188,46
1789978511.5873477,100.1,0.17364501953125,46
1789978511.8479416,100.2,0.17365646362304688,46
1789978512.1127362,99.9,0.1736602783203125,46
1789978512.3689818,100.0,0.1735382080078125,46
1789978512.6269152,105.7,0.17360687255859375,46
1789978512.8831155,106.2,0.17361831665039062,46
1789978513.140269,106.2,0.17361831665039062,46
1789978513.3959768,100.2,0.17358016967773438,46
1789978513.652305,106.2,0.17365264892578125,46
1789978513.907553,106.2,0.17366790771484375,46
1789978514.163344,94.0,0.17359161376953125,46
1789978514.4193757,112.5,0.17366409301757812,46
1789978514.675398,94.0,0.17369461059570312,46
1789978514.9336958,100.0,0.17369842529296875,46
1789978515.1913023,100.2,0.17351531982421875,46
1789978515.4481485,112.5,0.173614501953125,46
1789978515.7066264,94.0,0.17364883422851562,46
1789978515.9629486,106.2,0.17368316650390625,46
1789978516.220059,118.8,0.17359542846679688,46
1789978516.476831,88.4,0.17364120483398438,46
1789978516.7341714,93.8,0.17368698120117188,46
1789978516.990758,94.0,0.17371368408203125,46
1789978517.2470586,106.2,0.17362213134765625,46
1789978517.5083504,99.9,0.1736907958984375,46
1789978517.7640064,112.5,0.1737060546875,46
1789978518.0206282,100.2,0.17370986938476562,46
1789978518.2767723,93.8,0.1736297607421875,46
1789978518.5332084,94.0,0.17367935180664062,46
1789978518.7998433,99.9,0.17369461059570312,46
1789978519.055573,100.0,0.17371749877929688,46
1789978519.313272,112.5,0.17364120483398438,46
1789978519.5754187,94.3,0.1737060546875,46
