removed_k,removed,n_features,accuracy,macro_f1,auc_roc,avg_precision,fpr,fnr
0,,88,0.9975789936857036,0.9788131108748039,0.9997281264377706,0.999991896953794,0.000952944269190326,0.002463684770626076
1,H_dst_ip,87,0.9976792500821545,0.9796475317469773,0.9998492978657015,0.9999954908577298,0.0014458464773922186,0.002346184488816457
3,H_dst_ip|H_src_ip|H_pkt_len,85,0.9975901332853093,0.9788989806264987,0.9999278214586035,0.9999978507548077,0.0013472660357518402,0.0024407578863705403
5,H_dst_ip|H_src_ip|H_pkt_len|H_proto|H_dst_port,83,0.997648616183239,0.9793937215766934,0.9999310246296895,0.9999979423684995,0.0012158254468980021,0.0023843959625756824
10,H_dst_ip|H_src_ip|H_pkt_len|H_proto|H_dst_port|H_src_port|H_iat|H_tcp_flags|ACK_Flag_Count|Packet_Length_Std,78,0.9985277162521189,0.9869113963540486,0.999938036972536,0.9999981706791996,0.0009200841219768665,0.0014883369029218404
20,H_dst_ip|H_src_ip|H_pkt_len|H_proto|H_dst_port|H_src_port|H_iat|H_tcp_flags|ACK_Flag_Count|Packet_Length_Std|Packet_Length_Variance|Destination_Port|Flow_Duration|Flow_IAT_Max|Fwd_Packets_s|Flow_Packets_s|Flow_Bytes_s|Flow_IAT_Mean|Max_Packet_Length|Average_Packet_Size,68,0.9980236493699628,0.982579990044284,0.999854814590722,0.9999957213754551,0.0007557833859095688,0.0020118340934232324
5,H_dst_ip|H_src_ip|H_pkt_len|H_proto|H_dst_port,83,0.997648616183239,0.9793937215766934,0.9999310246296895,0.9999979423684995,0.0012158254468980021,0.0023843959625756824
